district,district_population,allegation_count,allegationspercapita
1527,144096,3970,27
1528,91279,3617,39
1531,200786,8756,43
1532,200391,8199,40
1533,117738,6232,52
1534,71071,10984,154
1535,75235,8707,115
1536,123575,9760,78
1537,90841,10127,111
1539,101941,6066,59
1540,74396,8329,111
1541,141038,5338,37
1542,199482,5474,27
1543,247373,11130,44
1544,117041,8140,69
1545,127869,9985,78
1546,70474,12387,175
1547,59458,6770,113
1548,118093,7102,60
1549,62781,13617,216
1550,165201,9291,56
1551,95439,10739,112
