district,district_population,allegation_count,allegationspercapita,police_per_district,black,white,hispanic,asianpacificislander,native,blackpercent,whitepercent,hispanicpercent,asianpacificpercent,nativepercent,other,femalepolice,malepolice,fpolicepercent,mpolicepercent,blackpop,whitepop,hispanicpop,asianpacificislanderpop,nativepop,otherpop,blackpoppercent,whitepoppercent,hispanicpoppercent,asianpacificislanderpoppercent,nativeamericanpoppercent,otherpoppercent,allegations_per_officer,allegations_per_capita,allegations_per_capita_n,test
17,144096,3970,27,4878,156,3422,1079,210,11,3.2,70.15,22.12,4.31,0.23,-0.01,628,4250,12.87,87.13,4782,55743,62232,17373,321,3645,3.3186209193870755,38.68462691538974,43.18787475016656,12.056545636242504,0.2227681545636242,2.5295636242505,0.8138581385813858,0.02755107705973795,0.05806351973150039,29.539975399754
20,91279,3617,39,5184,370,3532,887,280,115,7.14,68.13,17.11,5.4,2.22,0.0,807,4377,15.57,84.43,9909,49420,16519,12792,223,2416,10.855728042594682,54.14169743314453,18.09726223994566,14.014176316567884,0.2443059192147153,2.6468300485325207,0.6977237654320988,0.03962576277128365,6.431417249141984,17.607831790123456
19,200786,8756,43,6869,672,4290,1449,445,13,9.78,62.45,21.09,6.48,0.19,0.01,921,5948,13.41,86.59,13305,150551,20025,12277,308,4320,6.626458019981473,74.98082535634954,9.97330491169703,6.114470132379748,0.1533971492036297,2.1515444303885727,1.2747124763429902,0.043608618130746166,8.533678679819296,29.230746833600232
25,200391,8199,40,5699,317,3970,1268,124,20,5.56,69.66,22.25,2.18,0.35,0.0,667,5032,11.7,88.3,33033,29371,133005,3086,214,1682,16.484273245804452,14.656845866331322,66.37274129077653,1.539989320877684,0.1067912231587246,0.8393590530512847,1.4386734514827162,0.040915011153195506,7.111918272463651,35.1624846464292
14,117738,6232,52,5014,333,2376,2126,135,44,6.64,47.39,42.4,2.69,0.88,0.0,673,4341,13.42,86.58,8027,49809,54039,3604,189,2070,6.817679933411473,42.30494827498344,45.89767110023952,3.0610338208564776,0.1605259134688885,1.758140957040208,1.242919824491424,0.05293108427185785,13.454334651091882,23.48185081771041
7,71071,10984,154,7210,3314,3116,731,39,10,45.96,43.22,10.14,0.54,0.14,0.0,1134,6076,15.73,84.27,68787,262,1167,56,136,663,96.78631227927002,0.3686454390679742,1.6420199518791068,0.078794444991628,0.191357937836811,0.932869946954454,1.5234396671289876,0.15454967567643624,67.09144322498477,9.857281553398058
3,75235,8707,115,6864,5029,1331,438,66,0,73.27,19.39,6.38,0.96,0.0,0.0,1315,5549,19.16,80.84,71010,1472,1123,312,169,1149,94.38426264371635,1.956536186615272,1.4926563434571676,0.4147006047717152,0.2246294942513457,1.5272147271881438,1.268502331002331,0.11573071044061939,46.601717631466336,10.960810023310023
4,123575,9760,78,8575,2928,3942,1663,39,3,34.15,45.97,19.39,0.45,0.03,0.01,1174,7401,13.69,86.31,76399,9925,35381,258,223,1389,61.823993526198656,8.031559781509205,28.631195630184095,0.2087800930608941,0.1804572122193,1.1240137568278372,1.1381924198250728,0.07898037628970261,27.203872849977305,14.411078717201166
6,90841,10127,111,8380,5386,2282,657,55,0,64.27,27.23,7.84,0.66,0.0,0.0,1362,7018,16.25,83.75,88525,312,914,61,164,865,97.45049041732256,0.3434572494798604,1.0061536090531809,0.0671502955713829,0.1805352208804394,0.9522132076925616,1.208472553699284,0.11148049889367136,44.35833819612225,10.840214797136039
22,101941,6066,59,8329,2132,5752,407,0,38,25.6,69.06,4.89,0.0,0.46,-0.01,1046,7283,12.56,87.44,62094,34863,3318,352,112,1202,60.91170382868522,34.199193651229635,3.2548238687083706,0.3452977702788868,0.1098674723614639,1.179113408736426,0.7282987153319727,0.05950500779862862,16.92423366354745,12.23928442790251
5,74396,8329,111,6978,4283,2295,337,63,0,61.38,32.89,4.83,0.9,0.0,0.0,1470,5508,21.07,78.93,70064,843,2524,38,118,809,94.17710629603742,1.1331254368514436,3.392655519113931,0.0510780149470401,0.1586106779934405,1.0874240550567236,1.1936084838062482,0.11195494381418356,44.608763372874876,10.661507595299513
24,141038,5338,37,4020,384,2894,563,158,21,9.55,71.99,14.0,3.93,0.52,0.01,597,3423,14.85,85.15,25322,60488,29746,20796,351,4335,17.954026574398387,42.88773238418015,21.090769863441057,14.744962350572186,0.2488690991080418,3.0736397283001744,1.327860696517413,0.03784795587004921,5.4930415005028275,35.08407960199005
16,199482,5474,27,7166,181,5876,961,148,0,2.53,82.0,13.41,2.07,0.0,-0.01,901,6265,12.57,87.43,2022,138045,45438,10711,299,2967,1.0136252894998043,69.2017324871417,22.777995007068306,5.36940676351751,0.1498882104651046,1.4873522423075767,0.7638850125593079,0.027441072377457614,0.0,27.837287189506
8,247373,11130,44,10079,594,7484,1740,201,60,5.89,74.25,17.26,1.99,0.6,0.01,1012,9067,10.04,89.96,52219,51491,139854,2001,247,1561,21.109417761841428,20.815125337041636,56.53567689278943,0.8088999203631762,0.0998492155570737,0.6310308724072554,1.1042762178787577,0.0449927841761227,9.264279876253633,24.543407084036115
18,117041,8140,69,8536,2389,5288,697,129,33,27.99,61.95,8.17,1.51,0.39,-0.01,821,7715,9.62,90.38,10681,88418,5806,9775,108,2253,9.125861877461745,75.54446732341657,4.960654813270563,8.351774164608983,0.0922753564990046,1.924966464743124,0.9536082474226805,0.06954827795387941,22.225349968234333,13.711457357075913
12,127869,9985,78,5784,775,2954,1985,70,0,13.4,51.07,34.32,1.21,0.0,0.0,994,4790,17.19,82.81,23039,51775,42329,8148,185,2393,18.017658697573296,40.49065840821466,33.10341052170581,6.372146493677122,0.1446793202418099,1.871446558587304,1.726313969571231,0.07808773041159311,26.732709618718033,22.107365145228215
11,70474,12387,175,5652,1863,2783,926,61,19,32.96,49.24,16.38,1.08,0.34,0.0,748,4904,13.23,86.77,59671,1664,8118,329,73,619,84.67094247523909,2.361154468314556,11.5191418111644,0.4668388341799812,0.1035843005931265,0.8783381105088401,2.1916135881104033,0.1757669495132957,78.29050832419234,12.468860580325549
15,59458,6770,113,4676,1775,2207,608,85,0,37.96,47.2,13.0,1.82,0.0,0.02,593,4083,12.68,87.32,55468,959,2265,174,107,485,93.28938073934542,1.6129032258064515,3.8094116855595543,0.2926435467052373,0.1799589626290827,0.8157018399542534,1.447818648417451,0.11386188570083083,45.61530014537334,12.715568862275449
10,118093,7102,60,5763,468,2274,2956,65,0,8.12,39.46,51.29,1.13,0.0,0.0,721,5042,12.51,87.49,39440,4300,73441,239,144,529,33.39740712828025,3.6411980388338008,62.18912213255654,0.2023828677398321,0.1219377947888528,0.4479520378007163,1.232344265139684,0.060139042957668955,17.25889499072247,20.491584244317195
1,62781,13617,216,7694,2491,4207,944,44,8,32.38,54.68,12.27,0.57,0.1,0.0,934,6760,12.14,87.86,13452,32952,3766,10790,95,1726,21.426864815788218,52.48721747025374,5.998630158806008,17.186728468804255,0.1513196667781653,2.749239419569615,1.769820639459319,0.21689683184402925,100.0,8.159734858331166
9,165201,9291,56,6787,425,4878,1331,153,0,6.26,71.87,19.61,2.25,0.0,0.01,958,5829,14.12,85.88,19044,24307,94610,25894,173,1173,11.527775255597726,14.713591322086428,57.269629118467805,15.674239260052904,0.1047209157329556,0.7100441280621788,1.3689406217769264,0.05624057965750812,15.201178027597525,24.34079858553116
2,95439,10739,112,8008,6258,1312,351,75,12,78.15,16.38,4.38,0.94,0.15,0.0,1679,6329,20.97,79.03,65993,17747,3242,5837,138,2482,69.14678485734343,18.595123586793655,3.396934167373925,6.11594840683578,0.1445949768962373,2.600614004756965,1.341033966033966,0.11252213455715168,44.908142364870216,11.917957042957044
