district,district_population,allegation_count,allegationspercapita,police_per_district,black,white,hispanic,asianpacificislander,native,blackpercent,whitepercent,hispanicpercent,asianpacificpercent,nativepercent,other,femalepolice,malepolice,fpolicepercent,test,mpolicepercent,blackpop,whitepop,hispanicpop,asianpacificislanderpop,nativepop,otherpop,blackpoppercent,whitepoppercent,hispanicpoppercent,asianpacificislanderpoppercent,nativeamericanpoppercent,otherpoppercent,allegations_per_officer,allegations_per_capita,allegations_per_capita_n
17,144096,3970,27,623,27,457,115,22,2,4.33,73.35,18.46,3.53,0.32,0.01,106,517,17.01,231.29373996789727,82.99,4782,55743,62232,17373,321,3645,3.3186209193870755,38.68462691538974,43.18787475016656,12.056545636242504,0.2227681545636242,2.5295636242505,6.37239165329053,0.02755107705973795,0.05806351973150039
20,91279,3617,39,610,36,449,88,31,6,5.9,73.61,14.43,5.08,0.98,0.0,112,498,18.36,149.6377049180328,81.64,9909,49420,16519,12792,223,2416,10.855728042594682,54.14169743314453,18.09726223994566,14.014176316567884,0.2443059192147153,2.6468300485325207,5.9295081967213115,0.03962576277128365,6.431417249141984
19,200786,8756,43,793,70,536,150,35,2,8.83,67.59,18.92,4.41,0.25,0.0,160,633,20.18,253.19798234552334,79.82,13305,150551,20025,12277,308,4320,6.626458019981473,74.98082535634954,9.97330491169703,6.114470132379748,0.1533971492036297,2.1515444303885727,11.041614123581336,0.043608618130746166,8.533678679819296
25,200391,8199,40,751,35,524,169,20,2,4.66,69.77,22.5,2.66,0.27,0.14,119,632,15.85,266.83222370173104,84.15,33033,29371,133005,3086,214,1682,16.484273245804452,14.656845866331322,66.37274129077653,1.539989320877684,0.1067912231587246,0.8393590530512847,10.917443408788282,0.040915011153195506,7.111918272463651
14,117738,6232,52,588,41,327,198,18,4,6.97,55.61,33.67,3.06,0.68,0.01,99,489,16.84,200.23469387755102,83.16,8027,49809,54039,3604,189,2070,6.817679933411473,42.30494827498344,45.89767110023952,3.0610338208564776,0.1605259134688885,1.758140957040208,10.598639455782314,0.05293108427185785,13.454334651091882
7,71071,10984,154,863,363,369,118,12,1,42.06,42.76,13.67,1.39,0.12,0.0,179,684,20.74,82.35341830822712,79.26,68787,262,1167,56,136,663,96.78631227927002,0.3686454390679742,1.6420199518791068,0.078794444991628,0.191357937836811,0.932869946954454,12.727694090382387,0.15454967567643624,67.09144322498477
3,75235,8707,115,755,492,183,75,4,1,65.17,24.24,9.93,0.53,0.13,0.0,204,551,27.02,99.64900662251655,72.98,71010,1472,1123,312,169,1149,94.38426264371635,1.956536186615272,1.4926563434571676,0.4147006047717152,0.2246294942513457,1.5272147271881438,11.532450331125828,0.11573071044061939,46.601717631466336
4,123575,9760,78,793,256,405,125,6,1,32.28,51.07,15.76,0.76,0.13,0.0,133,660,16.77,155.83228247162674,83.23,76399,9925,35381,258,223,1389,61.823993526198656,8.031559781509205,28.631195630184095,0.2087800930608941,0.1804572122193,1.1240137568278372,12.307692307692308,0.07898037628970261,27.203872849977305
6,90841,10127,111,803,446,246,101,10,0,55.54,30.64,12.58,1.25,0.0,-0.01,179,624,22.29,113.12702366127024,77.71,88525,312,914,61,164,865,97.45049041732256,0.3434572494798604,1.0061536090531809,0.0671502955713829,0.1805352208804394,0.9522132076925616,12.61145703611457,0.11148049889367136,44.35833819612225
22,101941,6066,59,693,168,480,43,0,2,24.24,69.26,6.2,0.0,0.29,0.01,129,564,18.61,147.1010101010101,81.39,62094,34863,3318,352,112,1202,60.91170382868522,34.199193651229635,3.2548238687083706,0.3452977702788868,0.1098674723614639,1.179113408736426,8.753246753246753,0.05950500779862862,16.92423366354745
5,74396,8329,111,716,399,269,42,6,0,55.73,37.57,5.87,0.84,0.0,-0.01,188,528,26.26,103.90502793296089,73.74,70064,843,2524,38,118,809,94.17710629603742,1.1331254368514436,3.392655519113931,0.0510780149470401,0.1586106779934405,1.0874240550567236,11.63268156424581,0.11195494381418356,44.608763372874876
24,141038,5338,37,554,33,416,73,28,4,5.96,75.09,13.18,5.05,0.72,0.0,101,453,18.23,254.5812274368231,81.77,25322,60488,29746,20796,351,4335,17.954026574398387,42.88773238418015,21.090769863441057,14.744962350572186,0.2488690991080418,3.0736397283001744,9.635379061371841,0.03784795587004921,5.4930415005028275
16,199482,5474,27,808,14,696,81,17,0,1.73,86.14,10.02,2.1,0.0,0.01,130,678,16.09,246.88366336633663,83.91,2022,138045,45438,10711,299,2967,1.0136252894998043,69.2017324871417,22.777995007068306,5.36940676351751,0.1498882104651046,1.4873522423075767,6.774752475247524,0.027441072377457614,0.0
8,247373,11130,44,895,54,685,145,10,1,6.03,76.54,16.2,1.12,0.11,0.0,129,766,14.41,276.3944134078212,85.59,52219,51491,139854,2001,247,1561,21.109417761841428,20.815125337041636,56.53567689278943,0.8088999203631762,0.0998492155570737,0.6310308724072554,12.435754189944134,0.0449927841761227,9.264279876253633
18,117041,8140,69,919,181,629,87,20,2,19.7,68.44,9.47,2.18,0.22,-0.01,114,805,12.4,127.35690968443961,87.6,10681,88418,5806,9775,108,2253,9.125861877461745,75.54446732341657,4.960654813270563,8.351774164608983,0.0922753564990046,1.924966464743124,8.857453754080522,0.06954827795387941,22.225349968234333
12,127869,9985,78,742,89,441,203,9,0,11.99,59.43,27.36,1.21,0.0,0.01,151,591,20.35,172.33018867924528,79.65,23039,51775,42329,8148,185,2393,18.017658697573296,40.49065840821466,33.10341052170581,6.372146493677122,0.1446793202418099,1.871446558587304,13.45687331536388,0.07808773041159311,26.732709618718033
11,70474,12387,175,739,178,425,124,11,1,24.09,57.51,16.78,1.49,0.14,-0.01,130,609,17.59,95.36400541271989,82.41,59671,1664,8118,329,73,619,84.67094247523909,2.361154468314556,11.5191418111644,0.4668388341799812,0.1035843005931265,0.8783381105088401,16.76184032476319,0.1757669495132957,78.29050832419234
15,59458,6770,113,630,170,341,101,17,0,26.98,54.13,16.03,2.7,0.0,0.16,116,514,18.41,94.37777777777778,81.59,55468,959,2265,174,107,485,93.28938073934542,1.6129032258064515,3.8094116855595543,0.2926435467052373,0.1799589626290827,0.8157018399542534,10.746031746031745,0.11386188570083083,45.61530014537334
10,118093,7102,60,666,68,304,284,10,0,10.21,45.65,42.64,1.5,0.0,0.0,106,560,15.92,177.3168168168168,84.08,39440,4300,73441,239,144,529,33.39740712828025,3.6411980388338008,62.18912213255654,0.2023828677398321,0.1219377947888528,0.4479520378007163,10.663663663663664,0.060139042957668955,17.25889499072247
1,62781,13617,216,977,234,636,99,7,1,23.95,65.1,10.13,0.72,0.1,0.0,137,840,14.02,64.2589559877175,85.98,13452,32952,3766,10790,95,1726,21.426864815788218,52.48721747025374,5.998630158806008,17.186728468804255,0.1513196667781653,2.749239419569615,13.93756397134084,0.21689683184402925,100.0
9,165201,9291,56,725,62,511,137,15,0,8.55,70.48,18.9,2.07,0.0,0.0,127,598,17.52,227.86344827586205,82.48,19044,24307,94610,25894,173,1173,11.527775255597726,14.713591322086428,57.269629118467805,15.674239260052904,0.1047209157329556,0.7100441280621788,12.815172413793103,0.05624057965750812,15.201178027597525
2,95439,10739,112,861,606,188,54,11,2,70.38,21.84,6.27,1.28,0.23,0.0,192,669,22.3,110.84668989547038,77.7,65993,17747,3242,5837,138,2482,69.14678485734343,18.595123586793655,3.396934167373925,6.11594840683578,0.1445949768962373,2.600614004756965,12.472706155632984,0.11252213455715168,44.908142364870216
